input,address,x,y,warning
南投縣仁愛鄉大同村定遠新村１８―７號,南投縣仁愛鄉大同村17鄰定遠新村1之1號,121.15871870723,24.045951336536,找不到號碼完全吻合，找最接近的
南投縣信義鄉望美村００２鄰望和巷３１―１號,南投縣信義鄉望美村2鄰望和巷31號,120.88411812115,23.598862704451,地址中多了 '００２鄰';找不到號碼完全吻合，找最接近的
南投縣南投市三民里民生街６０―５號,南投縣南投市三民里9鄰民生街60之5號,120.68340935903,23.909638511776
南投縣南投市福山里１鄰八卦路７０３巷３２―２號,南投縣南投市福山里1鄰八卦路703巷32之2號,120.63550794604,23.919483089081,地址中多了 '１鄰'
南投縣南投市內興里０２９鄰中興路２２９―２７號,南投縣南投市內興里29鄰中興路229之27號,120.69219594803,23.927905143754,地址中多了 '０２９鄰'
南投縣南投市三和里復興路９８―２號,南投縣南投市三和里22鄰復興路98之2號,120.68795974626,23.90435646915
南投縣南投市南崗工業區仁和路3號,南投縣南投市平山里36鄰仁和路3號,120.67529913058,23.924303693804,地址中多了 '南崗工業區';吻合地址超過一個
南投縣南投市振興里２０鄰菓稟路１０５號,南投縣南投市振興里20鄰菓稟路105號,120.69279571603,23.90690352293,地址中多了 '２０鄰'
南投縣國姓鄉北港村２鄰北原路３０―１０號,南投縣國姓鄉北港村2鄰北原路30之10號,120.93274321597,24.05882168404,地址中多了 '２鄰'
南投縣埔里鎮桃米里桃米路２３―２號,南投縣埔里鎮桃米里4鄰桃米路23之2號,120.93245806619,23.944109691228
南投縣名間鄉南雅村南雅街４５―３號,南投縣名間鄉南雅村7鄰南雅街45之3號,120.70204474512,23.836170286835
南投縣埔里鎮東門里北平街３５―１０號,南投縣埔里鎮東門里9鄰北平街35之1號,120.97024449792,23.963744673616,找不到號碼完全吻合，找最接近的
南投縣埔里鎮北安里東榮路３１１―１號,南投縣埔里鎮北安里27鄰東榮路311號,120.97266313784,23.96816132878,找不到號碼完全吻合，找最接近的
南投縣埔里鎮大城里大城路３１―９號,南投縣埔里鎮大城里23鄰大城路31之9號,120.9590233642,23.970453801623
南投縣埔里鎮大城里信義路９７２―１號,南投縣埔里鎮大城里7鄰信義路972之1號,120.95870641932,23.971805810579
